# Andromeda
0225011161 1   134.09340256     5.87401196 draw to zeta
0215020211 1   131.04781075     3.33118673 draw to eta
0215020221 1   129.93098690     3.27552569 draw to sigma
0223017951 1   129.65912883     5.63822865 draw to delta
0225011161 1   134.09340256     5.87401196 draw to zeta
# Hydrus
9159016341 0    56.74161031   -74.18280333 move to gamma
9350016261 1     6.59899547   -77.15269375 draw to beta
8851020271 1    29.83391194   -61.48050730 draw to alpha
9159016341 1    56.74161031   -74.18280333 draw to gamma
# Indus
8411018221 0   309.71460908   -47.22606988 move to alpha
8793014781 1   320.29216750   -53.37021053 draw to theta
8812012571 1   329.79055833   -54.90369174 draw to delta
8793014781 0   320.29216750   -53.37021053 move to theta
8804013751 1   314.06022509   -58.38269540 draw to beta
# Lacerta
3199035911 0   334.19451572    37.84138925 move to 1
3203024021 1   333.66848584    39.80713301 draw to star listed
3209022601 1   337.82233323    43.21870558 draw to 6
3607026001 1   335.44801030    46.63018486 draw to 2
3611023041 1   337.57619764    47.80204642 draw to 5
3615030211 1   336.31752651    49.57066253 draw to 4
3628031931 1   338.01274823    50.37789812 draw to alpha
3619040811 1   336.07299385    52.32358595 draw to beta
# Leo
1960015501 0   146.72489931    23.68829173 move to epsilon
1964014731 1   148.45487159    25.91942516 draw to mu
1969012611 1   154.42886293    23.32451255 draw to zeta
1423013491 1   155.24486820    19.74847982 draw to gamma 1
1412016951 1   152.08472424    16.67175260 draw to eta
0833013811 1   152.34076094    11.87606358 draw to alpha
1437028471 1   168.80277401    15.32876154 draw to theta
0870009881 1   177.50441846    14.46943919 draw to beta
1439024791 1   168.77132787    20.42304387 draw to delta
1423013491 1   155.24486820    19.74847982 draw to gamma 1
# Leo Minor
2521022711 0   163.58461609    34.11682541 move to 46
2517012091 1   157.23808503    36.61258766 draw to beta
2509013431 1   152.12835010    35.15374980 draw to 21
# Lepus
5902017211 0    78.44054842   -16.18460570 move to mu
5920016851 1    83.38672305   -17.81024724 draw to alpha
5359017781 1    86.94878906   -14.81627646 draw to zeta
5359017771 1    87.61276887   -14.47907475 draw to unnamed
5360013701 1    89.31236905   -14.16661148 draw to eta
5920016851 0    83.38672305   -17.81024724 move to alpha
5928016571 1    82.25973676   -20.74518197 draw to beta
5930021951 0    88.02758778   -20.87379096 move to delta
5930021971 1    86.31114902   -22.44068491 draw to gamma
5928016571 1    82.25973676   -20.74518197 draw to beta
5927015811 1    80.30974001   -21.22222582 draw to unnamed
5913013741 1    76.56106676   -22.34674667 draw to epsilon
# Libra
5623013681 0   239.80711575   -14.33132145 move to 48
6187015441 1   238.71966471   -16.78330702 draw to theta
6186016621 1   236.27950796   -15.73005709 draw to eta
5608013811 1   234.14050644   -14.85008223 draw to gamma
5585010141 1   229.50197450    -9.44993159 draw to beta
6155012101 1   222.97713907   -16.11712863 draw to alpha 2
6752014551 1   226.28994294   -25.35320994 draw to sigma
6776015901 1   234.53796165   -28.19503650 draw to upsilon
6789018001 1   234.94936610   -29.83705471 draw to tau
6752014551 0   226.28994294   -25.35320994 move to sigma
5585010141 1   229.50197450    -9.44993159 draw to beta
# Lupus
7342013151 0   241.95317054   -36.85088529 move to theta
7851018141 1   240.33851802   -38.44785497 draw to eta
7840014321 1   234.09506008   -41.22731419 draw to gamma
7847025051 1   230.98649194   -44.75463533 draw to epsilon
8298041841 1   228.30859072   -48.80643137 draw to kappa
8306033621 1   228.40753978   -52.16767778 draw to zeta
8283041341 1   220.79245541   -47.46630604 draw to alpha
7832024901 1   224.93825341   -43.20697388 draw to beta
7839028031 1   230.64842386   -40.71298456 draw to delta
7325016911 1   230.74731537   -36.32654778 draw to phi 1
7332025121 1   238.03488430   -33.68186088 draw to chi
7840014321 0   234.09506008   -41.22731419 move to gamma
7839028031 1   230.64842386   -40.71298456 draw to delta
# Lynx
2496017281 0   140.54632667    34.31315342 move to alpha
2986019781 1   135.46314691    41.71020172 draw to unnamed
2980021841 1   126.02419018    43.12802198 draw to 31
3401016481 1   112.02635651    49.17330438 draw to 21
3779017301 1   104.71835536    58.39723688 draw to 15
3776024651 1    95.31362558    59.00173063 draw to 2
# Lyra
3122034382 0   281.23793583    39.68991721 move to epsilon 1
3105020701 1   279.38944893    38.79965997 draw to alpha
3118020801 1   281.35227124    37.62518566 draw to zeta 1
2642029291 1   282.69079970    33.38515783 draw to beta
2643033461 1   284.90904307    32.71590413 draw to gamma
2650021461 1   283.59310892    36.99579553 draw to delta 1
3118020801 1   281.35227124    37.62518566 draw to zeta 1
# Mensa
9176009871 0    92.41864016   -74.75700133 move to alpha
9378016921 1    82.78604471   -76.32889089 draw to gamma
9173010011 1    73.66641277   -74.90814600 draw to eta
9169015911 1    75.62137918   -71.28879712 draw to beta
# Microscopium
7983012001 0   320.48366340   -40.73021464 move to theta 1
7476009231 1   319.76331343   -32.09401661 draw to epsilon
7475011291 1   315.60533048   -32.18434407 draw to gamma
7465014451 1   312.77966216   -33.70990514 draw to alpha
# Monoceros
4851028781 0   122.38103274    -3.03876421 move to zeta
5414027461 1   115.53333829    -9.59530278 draw to alpha
4815038161 1   108.20225768    -0.52475595 draw to delta
4797018801 1    97.42889990    -7.04616835 draw to beta
4795017691 1    93.93963656    -6.28160181 draw to gamma
4815038161 0   108.20225768    -0.52475595 move to delta
0152025801 1   102.20650460     2.39062352 draw to 18
0141024521 1    96.18733598     4.58195543 draw to 8
0158033941 1    98.47609989     7.31801932 draw to 13
# Musca
9249023801 0   195.88668998   -71.64794844 move to delta
9228030491 1   189.57765284   -69.23714457 draw to alpha
9236029071 1   188.40021008   -72.23491192 draw to gamma
9228030471 0   191.85962838   -68.20889589 move to beta
9228030491 1   189.57765284   -69.23714457 draw to alpha
9227027051 1   184.65147643   -68.06335558 draw to epsilon
